team,map,ban,pick
Sentinels,Ascent,15,0
Sentinels,Bind,10,0
Sentinels,Corrode,0,3
Sentinels,Fracture,11,1
Sentinels,Haven,6,1
Sentinels,Icebox,8,0
Sentinels,Lotus,4,11
Sentinels,Pearl,0,9
Sentinels,Split,3,4
Sentinels,Sunset,1,6
